score,class,case,Topic,,Title,URL
10,neutral,This service informs you that its Terms of Service does not apply to third party websites,Transparency,https://edit.tosdr.org/cases/408,The service will resist legal requests for your information where reasonably possible,https://edit.tosdr.org/cases/305
10,neutral,This service is a subsidiary of Company X,Transparency,https://edit.tosdr.org/cases/493,The terms for this service are easy to read,https://edit.tosdr.org/cases/199
25,neutral,This service is only available for use individually and non-commercially.,Governance,https://edit.tosdr.org/cases/143,The terms for this service are translated into different languages,https://edit.tosdr.org/cases/198
15,neutral,This service is only available to users over a certain age,Governance,https://edit.tosdr.org/cases/152,"The terms may be changed at any time, but you will receive notification of the changes",https://edit.tosdr.org/cases/122
75,bad,"This service may collect, use, and share location data",Personal Data,https://edit.tosdr.org/cases/373,There is a date of the last update of the agreements,https://edit.tosdr.org/cases/331
30,good,This service provides a way for you to export your data,[Deprecated],https://edit.tosdr.org/cases/184,They may stop providing the service at any time,https://edit.tosdr.org/cases/203
50,bad,This service reserves the right to disclose your personal information without notifying you,Law and Government Requests,,They store data on you even if you did not interact with the service,https://edit.tosdr.org/cases/234
25,bad,This service retains rights to your content even after you stop using your account,Right to Leave The Service,https://edit.tosdr.org/cases/173,Third parties are involved in operating the service,https://edit.tosdr.org/cases/207
50,bad,This service tracks which web page referred you to it,Trackers,https://edit.tosdr.org/cases/387,Third parties are not allowed to access your personal information without a legal basis,https://edit.tosdr.org/cases/167
60,bad,This service tracks you on other websites,Trackers,https://edit.tosdr.org/cases/129,Third parties used by the service are bound by confidentiality obligations,https://edit.tosdr.org/cases/210
15,bad,This service will continue using anonymized user-generated content after erasure of personal information,Anonymity,https://edit.tosdr.org/cases/240,"Third party cookies are employed, but with opt out instructions",https://edit.tosdr.org/cases/127
50,good,Tracking cookies refused will not limit your ability to use the service,Trackers,https://edit.tosdr.org/cases/385,Third-party cookies are used for advertising,https://edit.tosdr.org/cases/128
5,bad,Tracking pixels are used in service-to-user communication,Trackers,https://edit.tosdr.org/cases/217,Third-party cookies are used for statistics,https://edit.tosdr.org/cases/325
70,bad,Tracking via third-party cookies for other purposes without your consent.,Trackers,,This service assumes no liability for unauthorized access to your personal information,https://edit.tosdr.org/cases/186
25,good,Two factor authentication is provided for your account,Security,,This service assumes no responsibility and liability for the contents of links to other websites,https://edit.tosdr.org/cases/279
50,good,User accounts can be terminated after having been in breach of the terms of service repeatedly,Suspension and Censorship,,This service can use your content for all their existing and future services,https://edit.tosdr.org/cases/180
20,good,User suspension from the service will be fair and proportionate.,Suspension and Censorship,,This service cannot be held responsible for disputes that you may have with other users,https://edit.tosdr.org/cases/154
60,bad,User-generated content can be blocked or censored for any reason,Suspension and Censorship,,"This service does not collect, use, or share location data",https://edit.tosdr.org/cases/392
50,good,"User-generated content is encrypted, and this service cannot decrypt it",Content,,This service does not condone any ideas contained in its user-generated contents,https://edit.tosdr.org/cases/292
20,bad,Usernames can be rejected or changed for any reason,Suspension and Censorship,,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,https://edit.tosdr.org/cases/290
20,bad,Users cannot scrape the website of the service,Governance,,This Service does not keep any logs.,https://edit.tosdr.org/cases/501
20,neutral,Users who have been permanently banned from this service are not allowed to re-register under a new account,Suspension and Censorship,,This service fines spammers,https://edit.tosdr.org/cases/153
80,bad,very broad,[Deprecated],,This service gives your personal data to third parties involved in its operation,https://edit.tosdr.org/cases/188
15,good,"When the service wants to change its terms, you are notified a week or more in advance.",Notice of Changing Terms,,This service has a no refund policy with some exceptions,https://edit.tosdr.org/cases/398
40,good,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",Notice of Changing Terms,,This service holds onto content that you've deleted,https://edit.tosdr.org/cases/174
10,neutral,You agree not to submit illegal content,Deprecated,,This service informs you that its Terms of Service does not apply to third party websites,https://edit.tosdr.org/cases/408
0,neutral,You agree not to submit illegal content,[Deprecated],,This service is a subsidiary of Company X,https://edit.tosdr.org/cases/493
20,neutral,"You agree not to submit libelous, harassing or threatening content",Content,,This service is only available for commercial use,https://edit.tosdr.org/cases/495
20,neutral,"You agree not to submit libelous, harassing or threatening content",Content,,This service is only available for use individually and non-commercially.,https://edit.tosdr.org/cases/143
10,neutral,You agree not to use the service for illegal purposes,Content,,This service is only available to users over a certain age,https://edit.tosdr.org/cases/152
0,neutral,You agree to comply with the law of the service's country,Law and Government Requests,,"This service may collect, use, and share location data",https://edit.tosdr.org/cases/373
60,bad,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",Governance,,"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",https://edit.tosdr.org/cases/332
50,neutral,You are allowed to quote their content with attribution,Governance,,This Service provides a list of Third Parties involved in its operation.,https://edit.tosdr.org/cases/404
50,bad,You are being tracked via social media cookies/pixels,Trackers,,This service provides a way for you to export your data,https://edit.tosdr.org/cases/184
30,good,You are entitled to a refund if certain thresholds or standards are not met by the service,Payments,,This service receives your precise location through GPS coordinates,https://edit.tosdr.org/cases/400
50,bad,You are forced into binding arbitration in case of disputes,Dispute Resolution,,This service retains rights to your content even after you stop using your account,https://edit.tosdr.org/cases/173
30,good,You are free to choose the type of copyright license that you want to use over your content,Deprecated,,This service shares your personal data with third parties that are not essential to its operation,https://edit.tosdr.org/cases/166
50,good,You are free to choose the type of copyright license that you want to use over your content,Deprecated,,This service still tracks you even if you opted out from tracking,https://edit.tosdr.org/cases/478
50,good,You are free to choose the type of copyright license that you want to use over your content,[Deprecated],,This service takes credit for your content,https://edit.tosdr.org/cases/179
40,good,You are informed about the risk of publishing personal info online,Transparency,,This service tracks which web page referred you to it,https://edit.tosdr.org/cases/387
40,good,You are informed about the risk of publishing personal info online,Transparency,,This service tracks you on other websites,https://edit.tosdr.org/cases/129
10,neutral,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Anonymity,,This service will continue using anonymized user-generated content after erasure of personal information,https://edit.tosdr.org/cases/240
10,neutral,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Anonymity,,Tracking cookies refused will not limit your ability to use the service,https://edit.tosdr.org/cases/385
100,good,You are not being tracked,Trackers,,Tracking pixels are used in service-to-user communication,https://edit.tosdr.org/cases/217
20,neutral,You are prohibited from attempting to gain unauthorized access to other computer systems,Governance,,Two factor authentication is provided for your account,https://edit.tosdr.org/cases/312
20,neutral,You are prohibited from attempting to gain unauthorized access to other computer systems,Governance,,User accounts can be terminated after having been in breach of the terms of service repeatedly,https://edit.tosdr.org/cases/313
20,neutral,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Content,,User suspension from the service will be fair and proportionate.,https://edit.tosdr.org/cases/204
20,neutral,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Content,,User-generated content can be blocked or censored for any reason,https://edit.tosdr.org/cases/379
15,neutral,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",Content,,"User-generated content is encrypted, and this service cannot decrypt it",https://edit.tosdr.org/cases/372
25,neutral,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",Content,,Usernames can be rejected or changed for any reason,https://edit.tosdr.org/cases/328
50,neutral,"You are responsible for any risks, damages, or losses that may incur by downloading materials",Guarantee,,users are notified of any material changes,https://edit.tosdr.org/cases/508
50,neutral,"You are responsible for any risks, damages, or losses that may incur by downloading materials",Guarantee,,"users can contact the (edtech) vendor about any privacy policy questions, complaints, and material changes as indicated in the policies",https://edit.tosdr.org/cases/509
10,neutral,You are responsible for maintaining the security of your account and for the activities on your account,Security,,Users who have been permanently banned from this service are not allowed to re-register under a new account,https://edit.tosdr.org/cases/319
40,bad,You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,Governance,,very broad,https://edit.tosdr.org/cases/133
50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Trackers,,Voice data is collected and shared with third-parties,https://edit.tosdr.org/cases/489
50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Trackers,,"When the service wants to change its terms, you are notified a week or more in advance.",https://edit.tosdr.org/cases/123
50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Trackers,,Minors must have the authorization of their legal guardians to use the service,https://edit.tosdr.org/cases/486
30,good,You are warned of the potential consequences related to third-party access,Third Parties,,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",https://edit.tosdr.org/cases/124
50,good,You aren’t allowed to publicly post private messages,Content,,You agree not to submit illegal content,https://edit.tosdr.org/cases/238
50,good,You aren’t forced into binding arbitration in case of disputes,Dispute Resolution,,"You agree not to submit libelous, harassing or threatening content",https://edit.tosdr.org/cases/283
50,good,You aren’t forced into binding arbitration in case of disputes,Dispute Resolution,,You agree not to use the service for illegal purposes,https://edit.tosdr.org/cases/280
50,neutral,You authorise the service to charge a credit card supplied on re-occurring basis,Payments,,You agree to comply with the law of the service's country,https://edit.tosdr.org/cases/237
60,good,You can access most of the pages on the service's website without revealing any personal information,Personal Data,,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",https://edit.tosdr.org/cases/146
10,good,You can choose the copyright license,User Choice,,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,https://edit.tosdr.org/cases/145
0,good,You can choose with whom you share content,User Choice,,You are allowed to quote their content with attribution,https://edit.tosdr.org/cases/388
50,good,You can delete your content from this service,Right to Leave The Service,,You are being tracked via social media cookies/pixels,https://edit.tosdr.org/cases/307
10,good,You can opt out of promotional communications,User Choice,,You are entitled to a refund if certain thresholds or standards are not met by the service,https://edit.tosdr.org/cases/161
50,good,You can opt out of providing personal information to third parties,User Choice,,You are forced into binding arbitration in case of disputes,https://edit.tosdr.org/cases/339
25,good,You can opt out of targeted advertising,Advertising,,You are free to choose the type of copyright license that you want to use over your content,https://edit.tosdr.org/cases/137
50,good,"You can request access, correction and/or deletion of your data",User Choice,,You are informed about the risk of publishing personal info online,https://edit.tosdr.org/cases/231
40,good,You can retrieve an archive of your data,User Choice,,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",https://edit.tosdr.org/cases/213
40,good,You can retrieve an archive of your data,User Choice,,You are not being tracked,https://edit.tosdr.org/cases/218
50,good,"You can scrape the site, as long as it doesn't impact the server too much",Governance,,You are prohibited from attempting to gain unauthorized access to other computer systems,https://edit.tosdr.org/cases/284
70,blocker,You cannot delete your account of this service,Right to Leave The Service,,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,https://edit.tosdr.org/cases/314
20,neutral,"You cannot delete your contributions, but it makes sense for this service",Right to Leave The Service,,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",https://edit.tosdr.org/cases/281
10,neutral,You cannot distribute or disclose your account to third parties,Transparency,,"You are responsible for any risks, damages, or losses that may incur by downloading materials",https://edit.tosdr.org/cases/291
30,bad,You cannot opt out of promotional communications,User Choice,,You are responsible for maintaining the security of your account and for the activities on your account,https://edit.tosdr.org/cases/148
50,bad,You have a reduced time period to take legal action against the service,Governance,,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",https://edit.tosdr.org/cases/323
50,bad,You have a reduced time period to take legal action against the service,Governance,,You are warned of the potential consequences related to third-party access,https://edit.tosdr.org/cases/209
15,good,You have the right to leave this service at any time,Right to Leave The Service,,You aren’t allowed to publicly post private messages,https://edit.tosdr.org/cases/317
50,neutral,You have the right to request lower Charges from Third Party Providers,User Choice,,You aren’t allowed to remove or edit user-generated content,https://edit.tosdr.org/cases/479
50,good,You maintain ownership of your content,Ownership,,You aren’t forced into binding arbitration in case of disputes,https://edit.tosdr.org/cases/335
50,good,You maintain ownership of your content,Ownership,,You authorise the service to charge a credit card supplied on re-occurring basis,https://edit.tosdr.org/cases/384
25,neutral,You must create an account to use this service,Transparency,,You can access most of the pages on the service's website without revealing any personal information,https://edit.tosdr.org/cases/298
20,bad,"You must provide your legal name, pseudonyms are not allowed",Anonymity,,You can choose the copyright license,https://edit.tosdr.org/cases/222
10,neutral,You must report to the service any unauthorized use of your account or any breach of security,Security,,You can choose with whom you share content,https://edit.tosdr.org/cases/225
20,bad,You shall not interfere with another person's enjoyment of the service,Content,,You can delete your content from this service,https://edit.tosdr.org/cases/175
25,bad,You shall not interfere with another person's enjoyment of the service,Content,,You can limit how your information is used by third-parties and the service,https://edit.tosdr.org/cases/338
50,neutral,"You should revisit the terms periodically, although in case of material changes, the service will notify",Notice of Changing Terms,,You can opt out of promotional communications,https://edit.tosdr.org/cases/223
50,neutral,"You should revisit the terms periodically, although in case of material changes, the service will notify",Notice of Changing Terms,,You can opt out of providing personal information to third parties,https://edit.tosdr.org/cases/337
50,blocker,You waive your moral rights,Ownership,,You can opt out of targeted advertising,https://edit.tosdr.org/cases/219
50,bad,You waive your right to a class action.,Dispute Resolution,,"You can request access, correction and/or deletion of your data",https://edit.tosdr.org/cases/195
30,good,You will be notified about website maintenance,Guarantee,,You can retrieve an archive of your data,https://edit.tosdr.org/cases/140
30,good,You will be notified if personal data has been affected by data breaches,Security,,"You can scrape the site, as long as it doesn't impact the server too much",https://edit.tosdr.org/cases/389
60,bad,Your account can be deleted or permanently suspended without prior notice and without a reason,Suspension and Censorship,,You can set guidelines for the use of your personal information after your death,https://edit.tosdr.org/cases/503
60,bad,Your account can be deleted without prior notice and without a reason,Suspension and Censorship,,You can’t close your account if an investigation is ongoing,https://edit.tosdr.org/cases/496
15,neutral,Your account can be suspended for several reasons,Suspension and Censorship,,You cannot delete your account of this service,https://edit.tosdr.org/cases/172
30,good,Your browser's Do Not Track (DNT) headers are respected,Trackers,,"You cannot delete your contributions, but it makes sense for this service",https://edit.tosdr.org/cases/394
50,blocker,Your browsing history can be viewed by the service,Types of Information Collected,,You cannot distribute or disclose your account to third parties,https://edit.tosdr.org/cases/229
50,neutral,Your content can be deleted if you violate the terms,Suspension and Censorship,,You cannot opt out of promotional communications,https://edit.tosdr.org/cases/224
50,neutral,Your content can be distributed through any media known now or in the future,Copyright License,,You have a reduced time period to take legal action against the service,https://edit.tosdr.org/cases/151
50,bad,Your content can be licensed to third parties,Copyright License,,You have the right to leave this service at any time,https://edit.tosdr.org/cases/170
50,bad,Your data is processed and stored in a country that is less friendly to user privacy protection,Personal Data,,You have the right to request lower Charges from Third Party Providers,https://edit.tosdr.org/cases/309
25,bad,Your data may be processed and stored anywhere in the world,Personal Data,,You maintain ownership of your content,https://edit.tosdr.org/cases/183
30,good,Your feedback is invited regarding changes to the terms.,User Involvement in Changing Terms,,You must create an account to use this service,https://edit.tosdr.org/cases/230
90,blocker,Your identity is used in ads that are shown to other users,Advertising,,You must provide your identifiable information,https://edit.tosdr.org/cases/409
80,good,Your information is only shared with third parties when given specific consent,Third Parties,,"You must provide your legal name, pseudonyms are not allowed",https://edit.tosdr.org/cases/214
10,neutral,Your personal data is aggregated into statistics,Personal Data,,You must report to the service any unauthorized use of your account or any breach of security,https://edit.tosdr.org/cases/484
50,good,Your personal data is not shared with third parties,Third Parties,,You shall not interfere with another person's enjoyment of the service,https://edit.tosdr.org/cases/285
25,good,Your personal data is not sold,Personal Data,,"You should revisit the terms periodically, although in case of material changes, the service will notify",https://edit.tosdr.org/cases/329
30,bad,Your personal data is used for advertising,Advertising,,You waive your moral rights,https://edit.tosdr.org/cases/118
50,blocker,"Your personal data is used for automated decision-making, profiling or AI training",Personal Data,,You waive your right to a class action.,https://edit.tosdr.org/cases/117
60,good,Your personal data is used for limited purposes,Personal Data,,You will be notified about website maintenance,https://edit.tosdr.org/cases/159
40,bad,Your personal data is used to employ targeted third-party advertising,Advertising,,You will be notified if personal data has been affected by data breaches,https://edit.tosdr.org/cases/391
10,bad,Your personal data is used to employ targeted third-party advertising,trackers,,Your account can be deleted or permanently suspended without prior notice and without a reason,https://edit.tosdr.org/cases/201
50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Business Transfers,,Your account can be suspended for several reasons,https://edit.tosdr.org/cases/205
50,bad,Your personal data may be used for marketing purposes,Advertising,,Your biometric data is collected,https://edit.tosdr.org/cases/397
40,bad,Your personal information is used for many different purposes,Personal Data,,Your browser's Do Not Track (DNT) headers are respected,https://edit.tosdr.org/cases/383
30,neutral,Your private content may be accessed by people working for the service,Personal Data,,Your browsing history can be viewed by the service,https://edit.tosdr.org/cases/395
50,bad,Your profile is combined across various products,Anonymity,,Your content can be deleted if you violate the terms,https://edit.tosdr.org/cases/377
30,bad,Your use is throttled,Guarantee,,Your content can be distributed through any media known now or in the future,https://edit.tosdr.org/cases/139
,,,,,Your content can be licensed to third parties,https://edit.tosdr.org/cases/134
,,,,,Your data is processed and stored in a country that is friendlier to user privacy protection,https://edit.tosdr.org/cases/488
,,,,,Your data is processed and stored in a country that is less friendly to user privacy protection,https://edit.tosdr.org/cases/411
,,,,,Your feedback is invited regarding changes to the terms.,https://edit.tosdr.org/cases/119
,,,,,Your identity is used in ads that are shown to other users,https://edit.tosdr.org/cases/327
,,,,,Your information is only shared with third parties when given specific consent,https://edit.tosdr.org/cases/296
,,,,,"Your IP address is collected, which can be used to view your approximate location",https://edit.tosdr.org/cases/399
,,,,,Your personal data is aggregated into statistics,https://edit.tosdr.org/cases/190
,,,,,Your personal data is not shared with third parties,https://edit.tosdr.org/cases/311
,,,,,Your personal data is not sold,https://edit.tosdr.org/cases/193
,,,,,"Your personal data is used for automated decision-making, profiling or AI training",https://edit.tosdr.org/cases/504
,,,,,Your personal data is used for limited purposes,https://edit.tosdr.org/cases/196
,,,,,Your personal data is used to employ targeted third-party advertising,https://edit.tosdr.org/cases/220
,,,,,Your personal data may be disclosed to comply with government requests without notice to you,https://edit.tosdr.org/cases/164
,,,,,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,https://edit.tosdr.org/cases/243
,,,,,Your Personal data may be sold unless you opt out,https://edit.tosdr.org/cases/396
,,,,,Your personal data may be used for marketing purposes,https://edit.tosdr.org/cases/336
,,,,,Your personal data will not be used for an automated decision-making,https://edit.tosdr.org/cases/480
,,,,,Your personal information is used for many different purposes,https://edit.tosdr.org/cases/185
,,,,,Your private content may be accessed by people working for the service,https://edit.tosdr.org/cases/189
,,,,,Your profile is combined across various products,https://edit.tosdr.org/cases/326
,,,,,Your provided identifiable information is actively checked by the service,https://edit.tosdr.org/cases/492
,,,,,Your use is throttled,https://edit.tosdr.org/cases/157